taxon_name,family,native_status,source_details,name_resolution_and_type,references,reference_category,plant_growth_form_to_use,woodiness_to_use
Dracophyllum minimum,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Dracophyllum oceanicum,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Dracophyllum sayeri,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,tree,woody
Dracophyllum secundum,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris acuminata,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris apiculata,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Epacris apsleyensis,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris barbata,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris breviflora,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris browniae,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris calvertiana,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris calvertiana var. calvertiana,Ericaceae,native,APC_accepted,variety,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Epacris calvertiana var. versicolor,Ericaceae,native,APC_accepted,variety,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Epacris celata,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris cerasicollina,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Epacris coriacea,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris corymbiflora,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris crassifolia,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris crassifolia subsp. crassifolia,Ericaceae,native,APC_accepted,subspecies,species,scraped from online flora,shrub,woody
Epacris crassifolia subsp. macroflora,Ericaceae,native,APC_accepted,subspecies,species,scraped from online flora,shrub,woody
Epacris curtisiae,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris decumbens,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris exserta,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris franklinii,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris glabella,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris glacialis,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris gnidioides,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris grandis,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris graniticola,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Epacris gunnii,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris hamiltonii,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris heteronema,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris heteronema var. gigantea,Ericaceae,native,APC_accepted,variety,species,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Epacris heteronema var. heteronema,Ericaceae,native,APC_accepted,variety,species,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Epacris impressa,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris lanuginosa,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris limbata,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris lithophila,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris longiflora,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris marginata,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris microphylla,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris moscaliana,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Epacris mucronulata,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris muelleri,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris myrtifolia,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris navicularis,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris obtusifolia,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris paludosa,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris petrophila,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris pilosa,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris pinoidea,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris pulchella,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris purpurascens,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris purpurascens var. onosmiflora,Ericaceae,native,APC_accepted,variety,species,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Epacris purpurascens var. purpurascens,Ericaceae,native,APC_accepted,variety,species,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Epacris reclinata,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris rhombifolia,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris rigida,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris robusta,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris serpyllifolia,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris sparsa,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris sprengelioides,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Epacris stuartii,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris tasmanica,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Epacris virgata,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Erica arborea,Ericaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Erica baccans,Ericaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Erica caffra,Ericaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,tree shrub,woody
Erica canaliculata,Ericaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Erica chamissonis,Ericaceae,naturalised,APC_accepted,binomial,(genus consensus - rescore later),"no information - usually phrase names, occasionally taxa without a recent revision",shrub,woody
Erica cinerea,Ericaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Erica cruenta,Ericaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Erica curviflora,Ericaceae,naturalised,APC_accepted,binomial,species - pza.sanbi.org,website - well referenced material,shrub,woody
Erica discolor,Ericaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Erica foliacea,Ericaceae,naturalised,APC_accepted,binomial,species - iNaturalist,website - well referenced material,shrub,woody
Erica glandulosa,Ericaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Erica hirta,Ericaceae,naturalised,APC_accepted,binomial,species - iNaturalist,website - well referenced material,shrub,woody
Erica hirtiflora,Ericaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Erica holosericea,Ericaceae,naturalised,APC_accepted,binomial,species - Utas,scraped from online flora,shrub,woody
Erica lusitanica,Ericaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Erica macowanii,Ericaceae,naturalised,APC_accepted,binomial,species - iNaturalist,website - well referenced material,shrub,woody
Erica mauritanica,Ericaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Erica melanthera,Ericaceae,naturalised,APC_accepted,binomial,species - iNaturalist,website - well referenced material,shrub,woody
Erica myriocodon,Ericaceae,naturalised,APC_accepted,binomial,species - plants.jstor.org,website - well referenced material,shrub,woody
Erica nivalis,Ericaceae,naturalised,APC_accepted,binomial,(genus consensus - rescore later),"no information - usually phrase names, occasionally taxa without a recent revision",shrub,woody
Erica onosmaeflora,Ericaceae,naturalised,APC_accepted,binomial,(genus consensus - rescore later),"no information - usually phrase names, occasionally taxa without a recent revision",shrub,woody
Erica parviflora,Ericaceae,naturalised,APC_accepted,binomial,(genus consensus - rescore later),"no information - usually phrase names, occasionally taxa without a recent revision",shrub,woody
Erica quadrangularis,Ericaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Erica scoparia,Ericaceae,naturalised,APC_accepted,binomial,species - Wikipedia,website - well referenced material,shrub,woody
Erica simulans,Ericaceae,naturalised,APC_accepted,binomial,(genus consensus - rescore later),"no information - usually phrase names, occasionally taxa without a recent revision",shrub,woody
Erica speciosa,Ericaceae,naturalised,APC_accepted,binomial,(genus consensus - rescore later),"no information - usually phrase names, occasionally taxa without a recent revision",shrub,woody
Erica subulata,Ericaceae,naturalised,APC_accepted,binomial,species - iNaturalist,website - well referenced material,shrub,woody
Erica vestita,Ericaceae,naturalised,APC_accepted,binomial,species - plants.jstor.org/compilation,website - well referenced material,shrub,woody
Erica x darleyenisis,Ericaceae,naturalised,APC_accepted,hybrid,(genus consensus - rescore later),"no information - usually phrase names, occasionally taxa without a recent revision",shrub,woody
Gaultheria appressa,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Gaultheria depressa,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Gaultheria hispida,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Gaultheria lanceolata,Ericaceae,native,APC_accepted,binomial,*AusTraits plant_growth_form value,AusTraits value - usually for genus sp. or phrase names,shrub,woody
Gaultheria tasmanica,Ericaceae,native,APC_accepted,binomial,genus,scraped from online flora - applied genus value to individual species,shrub,woody
Gaultheria viridicarpa,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Leptecophylla abietina,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Leptecophylla divaricata,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Leptecophylla juniperina,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Leptecophylla juniperina subsp. juniperina,Ericaceae,native,APC_accepted,subspecies,species,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Leptecophylla juniperina subsp. oxycedrus,Ericaceae,native,APC_accepted,subspecies,species,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Leptecophylla juniperina subsp. parvifolia,Ericaceae,native,APC_accepted,subspecies,species,scraped from online flora - applied species value to infraspecific taxon,shrub,woody
Leptecophylla oxycedrus,Ericaceae,,APNI_unplaced,binomial,species,scraped from online flora,shrub,woody
Leptecophylla pendulosa,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Leptecophylla pogonocalyx,Ericaceae,native,APC_accepted,binomial,species - Tas,scraped from online flora,shrub,woody
Leucopogon acicularis,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Leucopogon acuminatus,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Leucopogon affinis,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Leucopogon allittii,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Leucopogon alternifolius,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Leucopogon altissimus,Ericaceae,native,APC_accepted,binomial,"species - Hislop 2008, Nuytsia 18: 61–78",taxon revision; taxonomic species description,shrub,woody
Leucopogon amplectens,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Leucopogon amplexicaulis,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Leucopogon apiculatus,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Leucopogon appressus,Ericaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Leucopogon assimilis,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
Leucopogon atherolepis,Ericaceae,native,APC_accepted,binomial,species - WA,scraped from online flora,shrub,woody
