Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm),plant_height_duplicate,wood_density_duplicate,seed_width_min_duplicate,seed_width_max_duplicate,seed_length_min_duplicate,seed_length_max_duplicate,leaf_width_min_duplicate,leaf_width_max_duplicate,leaf_length_min_duplicate,leaf_length_max_duplicate
Melicope bonwickii,tree,1,0,compound,no,evergreen,390,534,659,32,100,300,40,150,3,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectryon subdentatus,tree,1,1,compound,no,evergreen,NA,NA,NA,12,30,80,10,40,5,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arytera divaricata,tree,1,1,compound,no,evergreen,590,580,661,30,50,195,20,70,10,15,5,7,NA,Duplicate of Barlow_1981_0325,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0325,NA,Duplicate of Barlow_1981_0325,NA
Atalaya salicifolia,tree,1,0,compound,no,evergreen,690,680,661,12,45,180,5,30,6,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0342,NA
Lophostemon confertus,tree,1,0,simple,no,evergreen,690,690,653,40,70,175,25,60,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zieria tuberculata,shrub,1,0,compound,no,evergreen,NA,NA,NA,3.5,20,50,2,3.5,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maytenus Windsor-Tableland,tree,1,1,simple,no,evergreen,NA,740,685,7,40,110,15,40,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arytera pauciflora,tree,1,1,compound,no,evergreen,NA,580,661,20,55,175,10,55,13,15,7,8,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0330,Duplicate of Barlow_1981_0330,Duplicate of Barlow_1981_0330
Halfordia kendack,tree,1,0,simple,no,evergreen,840,840,659,30,35,180,10,55,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleistanthus cunninghamii,tree,1,0,simple,no,evergreen,786.9,NA,NA,25,30,90,20,40,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hicksbeachia pilosa,tree,0,1,compound,no,evergreen,550,550,573,15,100,400,25,85,25,30,17,22,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2690,Duplicate of Barlow_1981_2690,NA,NA
Leionema ellipticum,shrub,0,0,simple,no,evergreen,NA,NA,659,10,30,80,12,36,3,3,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrameles nudiflora,tree,1,0,simple,yes,deciduous,NA,NA,NA,45,80,260,60,220,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospermum polygalifolium,tree,1,0,simple,no,evergreen,NA,NA,NA,10,10,15,4,6,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osbornia octodonta,tree,1,0,simple,no,evergreen,NA,NA,NA,9,17,52,8,20,4,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_251,NA,Duplicate of NTH_2014_623
Arytera foveolata,tree,1,0,compound,no,evergreen,NA,NA,NA,9,60,120,18,35,6,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0326,Duplicate of Barlow_1981_0326,NA
Haplostichanthus submontanus_sessiliflorus,shrub,1,0,simple,no,evergreen,NA,NA,435,5,60,200,15,45,7,9,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros hebecarpa,tree,0,1,simple,no,evergreen,NA,616,616,20,60,135,23,60,15,17,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophostemon suaveolens,tree,1,0,simple,no,evergreen,NA,690,653,20,55,170,25,65,2,2,1,2,NA,Duplicate of Metcalfe_2009_164,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceratium doggrellii,tree,1,1,simple,no,evergreen,500,570,513,35,45,90,15,25,15,20,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceratium ferrugineum,tree,0,1,simple,no,evergreen,NA,570,513,30,75,160,35,75,15,18,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randia tuberculosa,shrub,1,0,simple,no,evergreen,NA,NA,608,2,25,105,12,50,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psydrax odorata-arnhemica,tree,1,0,simple,no,evergreen,780,780,608,15,55,90,23,50,5,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospermum petersonii,tree,1,0,simple,no,evergreen,NA,NA,NA,10,10,15,3,5,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carnarvonia araliifolia-montana,tree,0,1,compound,no,evergreen,560,560,573,30,70,200,40,80,10,14,8,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callitris rhomboidea,tree,1,1,simple,no,evergreen,NA,NA,NA,20,2,3,1,2,4,5,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosistoa selwynii,tree,1,0,simple,no,evergreen,NA,NA,NA,22,40,125,25,70,8,10,6,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya floydii,tree,1,1,simple,no,evergreen,NA,NA,NA,15,30,60,8,20,7,10,6,8,NA,Duplicate of Barlow_1981_0936,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptocarya foveolata,tree,1,1,simple,no,evergreen,455.8,NA,NA,45,50,120,20,60,6,10,6,8,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0938,NA,NA,NA
Cryptocarya sclerophylla,tree,1,1,simple,no,evergreen,NA,NA,NA,15,40,120,15,35,8,10,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0961
Grevillea heliosperma,tree,0,1,compound,no,evergreen,NA,NA,NA,7,50,125,4,15,8,11,5,7,2,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_155,NA
Cryptocarya rhodosperma,tree,0,1,simple,no,evergreen,NA,571,533,25,80,145,30,80,12,22,8,13,NA,Duplicate of Barlow_1981_0958,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0958,Duplicate of Barlow_1981_0958,Duplicate of Barlow_1981_0958,Duplicate of Barlow_1981_0958
Lenwebbia prominens,tree,1,0,simple,no,evergreen,619.2,NA,NA,10,30,100,20,35,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psydrax odorata-australiana,tree,1,0,simple,no,evergreen,780,780,608,15,30,110,10,50,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminalia oblongata-volucris,tree,1,1,simple,no,deciduous,NA,550,550,15,15,100,25,65,10,12,5,6,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4071,Duplicate of Barlow_1981_4071,NA,Duplicate of Barlow_1981_4071
Mitrantia bilocularis,tree,1,0,simple,no,evergreen,NA,NA,653,25,60,160,22,65,6,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros geminata,tree,1,0,simple,no,evergreen,NA,616,616,10,40,95,20,50,7,8,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectryon tomentosus,tree,1,0,compound,no,evergreen,NA,NA,661,20,30,150,10,65,5,8,4,7,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0084,NA,NA
Eucryphia lucida,tree,1,1,simple,no,evergreen,NA,NA,NA,30,25,45,15,20,2,3,1,2,1.5,Duplicate of TMAG_2009_086,NA,NA,NA,NA,NA,NA,NA,Duplicate of TMAG_2009_086,NA
Atalaya australiana,tree,1,1,compound,no,evergreen,NA,NA,NA,20,60,210,20,120,6,9,4,6,NA,Duplicate of Barlow_1981_0337,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0337,NA,Duplicate of Barlow_1981_0337,NA
Avicennia marina,tree,0,1,simple,no,evergreen,NA,NA,NA,16,30,115,12,40,18,28,12,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_028
Eucryphia milliganii,shrub,1,1,simple,no,evergreen,NA,NA,NA,3,15,35,7,10,2,3,1,2,1.5,Duplicate of TMAG_2009_046,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospermum grandifolium,tree,1,0,simple,no,evergreen,NA,NA,NA,12,10,15,4,6,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arytera bifoliolata,tree,1,0,simple,no,evergreen,NA,580,661,10,60,195,18,70,8,10,4,6,NA,Duplicate of Barlow_1981_0322,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0322,Duplicate of Barlow_1981_0322
Cryptocarya triplinervis-riparia,tree,1,0,simple,no,evergreen,600,571,533,20,45,135,15,50,6,9,5,9,NA,Duplicate of Metcalfe_2009_079,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0965
Cryptocarya foetida,tree,1,1,simple,no,evergreen,NA,NA,NA,20,50,120,20,60,5,9,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophostemon grandiflorus,tree,1,0,simple,no,evergreen,NA,690,653,11,30,120,10,65,1,2,1,2,NA,Duplicate of NTH_2014_613,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia rubescens,tree,1,0,simple,no,evergreen,662.2,NA,NA,30,50,100,20,45,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibiscus meraukensis,shrub,1,0,simple,yes,evergreen,NA,NA,NA,3,30,180,30,180,3,4,2,3,NA,Duplicate of WAH_1998_3310,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_186
Callitris macleayana,tree,1,1,simple,no,evergreen,470,470,470,40,1,3,1,2,5,6,3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0569
Brachychiton albidus,tree,1,1,simple,yes,deciduous,NA,340,426,8,45,150,55,190,8,12,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterculia holtzei,tree,0,1,simple,no,evergreen,NA,NA,NA,20,60,150,40,80,10,12,6,8,NA,Duplicate of Brock_1993_299,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia pauciovulata,tree,1,0,simple,no,evergreen,NA,NA,NA,10,25,53,20,40,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pternandra coerulescens,tree,1,0,simple,no,evergreen,NA,NA,NA,15,70,100,35,50,1,1,1,1,NA,Duplicate of Barlow_1981_3628,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3628,Duplicate of Barlow_1981_3628,Duplicate of Barlow_1981_3628,Duplicate of Barlow_1981_3628
Cryptocarya endiandrifolia,tree,1,1,simple,no,evergreen,NA,571,533,15,60,210,20,65,7,8,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon hannii,shrub,1,0,simple,no,evergreen,NA,NA,NA,1.5,20,150,8,110,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia sharpeana,tree,1,0,simple,no,evergreen,NA,661,653,25,35,80,10,30,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thunbergia arnhemica,vine,1,0,simple,yes,evergreen,NA,NA,NA,NA,30,90,10,80,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deeringia amaranthoides,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,25,250,10,80,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deeringia arborescens,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,50,200,15,100,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artabotrys carnosipetalus,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,70,160,30,75,15,17,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyathostemma micranthum,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,40,110,15,45,8,10,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyathostemma glabrum,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,50,120,30,60,7,10,5,9,2,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0988,NA,NA
Desmos goezeanus,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,50,150,25,60,9,11,6,7,NA,NA,NA,Duplicate of Barlow_1981_1142,NA,Duplicate of Barlow_1981_1142,NA,NA,NA,NA,NA
Desmos polycarpus,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,100,170,30,55,7,8,5,6,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1143,NA,NA,Duplicate of Barlow_1981_1143,NA,Duplicate of Barlow_1981_1143
Desmos wardianus,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,25,85,10,25,6,7,3,4,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_024,Duplicate of Barlow_1981_1144,NA,NA,NA
Melodorum leichhardtii,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,70,140,15,45,6,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3065
Melodorum scabridulum,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,50,140,25,60,8,10,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melodorum crassipetalum,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,30,150,20,40,9,11,6,7,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3064,NA,NA,NA
Melodorum unguiculatum,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,30,110,20,40,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melodorum topazensis,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,40,220,35,80,8,8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3068,NA,NA
Melodorum uhrii,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,30,300,20,95,8,10,6,6,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3069,NA,NA,NA
Uvaria concava,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,30,250,30,90,12,12,6,6,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4190,NA,NA,NA
Uvaria holtzei,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,40,180,30,80,6,8,4,5,2,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4191,Duplicate of Barlow_1981_4191,Duplicate of Barlow_1981_4191,Duplicate of Barlow_1981_4191
Uvaria rufa,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,70,240,50,90,9,13,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphanopetalum resinosum,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,40,80,18,35,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alyxia grandis,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,30,110,10,40,12,14,10,10,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Forster_1992_7,NA,Duplicate of Forster_1992_7
Alyxia stellata,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,10,70,5,28,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carissa laxiflora,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,30,90,10,50,4,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceropegia cumingiana,vine,0,1,simple,no,deciduous,NA,NA,NA,NA,20,130,15,75,10,14,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllanthera grayi,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,80,150,25,80,12,13,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynanchum bowmanii,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,30,85,10,30,5,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynanchum carnosum,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,20,75,4,35,5,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynanchum elegans,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,15,55,9,50,3,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynanchum leptolepis,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,45,180,27,140,7,8,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynanchum ovalifolium,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,70,120,35,70,10,11,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynanchum pedunculatum,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,35,95,20,50,6,13,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dischidia litoralis,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,18,32,8,17,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dischidia major,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,35,90,15,35,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dischidia nummularia,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,6,15,4,13,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dischidia ovata,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,20,50,5,35,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finlaysonia obovata,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,40,125,16,60,3,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gunnessia pepo,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,50,150,25,100,6,9,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnanthera oblonga,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,40,120,15,80,6,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterostemma acuminatum,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,55,160,35,130,13,15,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoya anulata,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,30,95,20,50,4,5,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoya australis-australis,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,25,150,15,120,3,5,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoya australis-sanae,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,40,60,15,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoya australis-tenuipes,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,50,100,30,60,4,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoya macgillivrayi,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,85,200,40,80,6,7,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoya pottsii,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,80,210,35,100,5,6,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoya revoluta,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,30,100,15,30,3,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoya sussuela,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,55,130,25,75,7,8,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ichnocarpus frutescens,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,25,105,20,65,7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ichnocarpus rhombifolius,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,10,110,5,50,15,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia connivens,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,12,37,6,19,5,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia cymulosa,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,45,115,18,45,5,12,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia flavescens,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,30,120,15,40,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia fraseri,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,20,80,6,20,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia geminata,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,22,90,12,55,5,8,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia glandulifera,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,50,140,30,90,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia hemiptera,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,70,190,25,110,7,8,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia jensenii,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,95,210,45,110,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia llisae,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,40,180,21,80,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia lloydii,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,40,110,15,60,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia longiloba,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,30,120,14,55,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia longipedicellata,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,60,150,20,100,12,13,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia micradenia,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,25,70,10,38,5,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia microlepis,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,20,85,15,95,6,8,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia paludicola,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,55,190,30,82,10,10,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia pleiadenia,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,18,140,10,105,7,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia rostrata,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,35,140,20,110,7,10,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia straminea,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,65,140,40,85,10,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia suaveolens,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,20,90,7,30,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia suborbicularis,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,42,140,25,90,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia tricholepis,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,28,80,12,65,5,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia velutina,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,70,190,40,150,7,9,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia viridiflora-tropica,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,30,100,4,50,5,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marsdenia viridiflora-viridiflora,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,20,120,5,20,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melodinus acutiflorus,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,40,190,25,75,5,10,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melodinus acutifolius,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,30,130,8,50,5,7,3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melodinus australis,vine,1,0,simple,no,evergreen,NA,NA,NA,NA,80,190,35,70,5,7,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melodinus bacellianus,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,40,160,30,70,7,11,3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melodinus forbesii,vine,1,1,simple,no,evergreen,NA,NA,NA,NA,45,210,20,80,5,7,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsonsia alboflavescens,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,85,145,45,85,5,7,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsonsia bartlensis,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,30,60,10,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsonsia blakeana,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,60,140,25,66,7,8,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsonsia brownii,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,35,130,11,40,5,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsonsia densivestita,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,90,230,40,130,5,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsonsia dorrigoensis,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,30,120,5,50,5,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsonsia eucalyptophylla,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,80,240,5,20,5,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsonsia ferruginea,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,65,170,30,110,5,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parsonsia fulva,vine,0,1,simple,no,evergreen,NA,NA,NA,NA,80,200,50,130,5,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
